Time (ms)	24V Voltage (V)	24V Current (I)	Fiducial Sensor (V)	Pressure Vessel Pressure (psi)	Flow Sensor (V)	Fairing Temperature (F)	Reservoir Temperature (F)	Right Hall Effect (V)	Left Hall Effect (V)	Tank PT (psig)	Right Clamp PT (psig)	Left Clamp PT (psig)	Brake PT (psig)	Cooling PT (V)	Displacement (ft)	Velocity (ft/s)	x acceleration (g)	IMU Pressure (psia)	IMU Temperature (F)	Max Cell Voltage (V)	Max Cell ID (#)	Min Cell Voltage (V)	Min Cell ID (#)	State of Charge (%)	Average Voltage (V)	Voltage Delta (V)	Pack Current (I)	Pack Voltage (V)	Max Resistance (Ohm)	Min Resistance (Ohm)	Average Resistance (Ohm)	Resistance Delta (Ohm)	Highest Temperature (F)	BMSStatus.isFault	BMSStatus.isolation	Motor Velocity	Motor Torque	Motor Position	Motor Temperature	Controller Temperature	Motor DC Voltage	Motor Error Code	motorStatus.isReady	motorStatus.isOn	motorStatus.isOperEn	motorStatus.isFault	motorStatus.isVoltEn	motorStatus.targetReached	motorStatus.isWarning	isAlive	motorControllerState	State	Pod Power	Dump Valve	Brakes	Clamp	HighSide	LowSide	Drive	DO7	Throttle	Pump	AO2	AO3
1160.000000	26.530857	149.813660	0.000000	-3.486872	0.012426	-436.148410	-440.244439	-0.199045	-0.186895	-1283.375981	-104.444932	-104.483964	-104.454690	0.004545	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000
1260.000000	26.522618	149.838287	0.000000	-3.523813	0.007829	-436.977986	-441.229560	-0.205284	-0.185582	-1284.278752	-104.425417	-104.396143	-104.444932	0.004874	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000
1360.000000	26.520558	149.879334	0.000000	-3.541053	0.005530	-437.185380	-441.851742	-0.197075	-0.185253	-1290.146761	-104.737669	-104.698637	-104.708395	-0.003007	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000
1460.000000	26.534977	150.018892	0.000000	-3.467169	0.014725	-435.889168	-440.140742	-0.206269	-0.183283	-1292.177996	-104.825489	-104.825489	-104.835247	-0.006619	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000
1560.000000	26.534977	150.059938	0.000000	-3.469632	0.014068	-435.733622	-440.037045	-0.204955	-0.184268	-1291.952303	-104.825489	-104.805974	-104.805974	-0.007276	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000
1660.000000	26.506140	149.805450	0.000000	-3.553367	0.003560	-437.548319	-441.955439	-0.196746	-0.184925	-1288.566913	-104.640090	-104.620574	-104.601058	-0.001694	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000
1760.000000	26.514379	150.273379	0.000000	-3.531202	0.006516	-437.185380	-441.385106	-0.199373	-0.187552	-1291.275225	-104.747426	-104.747426	-104.786458	-0.005306	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000
1860.000000	26.538066	150.133821	0.000000	-3.548441	0.002903	-437.911258	-442.007287	-0.200687	-0.183611	-1284.278752	-104.464448	-104.474206	-104.454690	0.004217	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000
1960.000000	26.573082	150.298007	0.000000	-3.518888	0.006844	-436.977986	-439.259318	-0.196746	-0.179671	-1284.955830	-104.552269	-104.571785	-104.581543	-0.002022	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000
2060.000000	26.568963	150.191286	0.000000	-3.570606	0.004217	-436.096562	-439.207470	-0.197075	-0.181969	-1283.375981	-104.444932	-104.444932	-104.483964	0.001590	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000
2160.000000	26.530857	150.248751	0.000000	-3.523813	0.006844	-435.422532	-439.000076	-0.199045	-0.182626	-1291.952303	-104.805974	-104.805974	-104.805974	-0.008590	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000
