Time (ms)	24V Voltage (V)	24V Current (I)	Fiducial Sensor (V)	Pressure Vessel Pressure (psi)	Flow Sensor (V)	Fairing Temperature (F)	Reservoir Temperature (F)	Right Hall Effect (V)	Left Hall Effect (V)	Tank PT (psig)	Right Clamp PT (psig)	Left Clamp PT (psig)	Brake PT (psig)	Cooling PT (V)	Displacement (ft)	Velocity (ft/s)	x acceleration (g)	IMU Pressure (psia)	IMU Temperature (F)	Max Cell Voltage (V)	Max Cell ID (#)	Min Cell Voltage (V)	Min Cell ID (#)	State of Charge (%)	Average Voltage (V)	Voltage Delta (V)	Pack Current (I)	Pack Voltage (V)	Max Resistance (Ohm)	Min Resistance (Ohm)	Average Resistance (Ohm)	Resistance Delta (Ohm)	Highest Temperature (F)	BMSStatus.isFault	BMSStatus.isolation	Motor Velocity	Motor Torque	Motor Position	Motor Temperature	Controller Temperature	Motor DC Voltage	Motor Error Code	motorStatus.isReady	motorStatus.isOn	motorStatus.isOperEn	motorStatus.isFault	motorStatus.isVoltEn	motorStatus.targetReached	motorStatus.isWarning	isAlive	motorControllerState	State	Pod Power	Dump Valve	Brakes	Clamp	HighSide	LowSide	Drive	DO7	Throttle	Pump	AO2	AO3
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
320.000000	8.446307	149.706939	0.000000	-3.565681	0.004545	-437.237228	-441.385106	-0.201343	-0.184925	-1291.049532	-104.757184	-104.776700	-104.737669	-0.003664	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	1	0	0	0.000	0.000	0.000	0.000
460.000000	8.458457	149.961427	0.000000	-3.550904	0.004874	-437.081683	-440.866621	-0.198716	-0.184268	-1291.726610	-104.805974	-104.815732	-104.815732	-0.005306	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	1	0	0	0.000	0.000	0.000	0.000
590.000000	8.450576	149.945008	0.000000	-3.558292	0.005202	-436.874289	-440.244439	-0.197403	-0.180984	-1284.053059	-104.444932	-104.435174	-104.464448	0.002247	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	1	0	0	0.000	0.000	0.000	0.000
710.000000	8.450905	149.953217	0.000000	-3.565681	0.004217	-436.926137	-440.399985	-0.197403	-0.181969	-1284.504444	-104.464448	-104.454690	-104.493722	0.003889	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	1	0	0	0.000	0.000	0.000	0.000
740.000000	8.462069	150.059938	0.000000	-3.541053	0.005530	-436.977986	-440.866621	-0.199045	-0.184925	-1290.823839	-104.757184	-104.796216	-104.805974	-0.007604	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	1	0	0	0.000	0.000	0.000	0.000
820.000000	8.459771	150.043519	0.000000	-3.504111	0.009799	-436.511349	-440.296288	-0.196746	-0.180328	-1289.695376	-104.688879	-104.698637	-104.747426	-0.006619	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	1	0	0	0.000	0.000	0.000	0.000
920.000000	8.450905	149.969636	0.000000	-3.528739	0.009142	-436.148410	-439.674106	-0.194776	-0.178357	-1284.053059	-104.503480	-104.522995	-104.522995	0.001590	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	1	0	0	0.000	0.000	0.000	0.000
1020.000000	8.460099	149.961427	0.000000	-3.541053	0.004874	-437.185380	-440.711076	-0.198388	-0.184268	-1291.500918	-104.786458	-104.796216	-104.825489	-0.008918	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	1	0	0	0.000	0.000	0.000	0.000
1120.000000	8.449591	149.928590	0.000000	-3.548441	0.006844	-436.615046	-440.037045	-0.196089	-0.180328	-1284.278752	-104.464448	-104.474206	-104.464448	0.005530	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	1	0	0	0.000	0.000	0.000	0.000
1220.000000	8.462398	149.994264	0.000000	-3.521351	0.007501	-437.029834	-440.711076	-0.198388	-0.181969	-1291.049532	-104.786458	-104.766942	-104.786458	-0.007276	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	1	0	0	0.000	0.000	0.000	0.000
1320.000000	8.448278	149.945008	0.000000	-3.528739	0.009799	-436.200259	-439.674106	-0.194119	-0.177701	-1284.730137	-104.513237	-104.493722	-104.503480	0.001918	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	1	0	0	0.000	0.000	0.000	0.000
1420.000000	8.454517	150.084566	0.000000	-3.501648	0.012426	-435.941016	-439.466712	-0.195433	-0.178686	-1284.730137	-104.522995	-104.522995	-104.552269	0.000605	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	1	0	0	0.000	0.000	0.000	0.000
1520.000000	8.458457	150.142031	0.000000	-3.496723	0.011769	-436.096562	-439.829652	-0.195104	-0.179999	-1289.243991	-104.698637	-104.698637	-104.718153	-0.005306	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	1	0	0	0.000	0.000	0.000	0.000
1620.000000	8.443680	149.550963	0.000000	-3.624787	-0.005634	-438.896379	-442.318378	-0.204955	-0.191164	-1291.952303	-104.718153	-104.659606	-104.562027	0.001262	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	1	0	0	0.000	0.000	0.000	0.000
