Time (ms)	LowV Voltage (V)	LowV Current (I)	Fiducial Sensor (V)	Pressure Vessel Pressure (psi)	Flow Sensor (V)	Fairing Temperature (F)	Reservoir Temperature (F)	Right Hall Effect (V)	Left Hall Effect (V)	Tank PT (psig)	Right Clamp PT (psig)	Left Clamp PT (psig)	Brake PT (psig)	Cooling PT (V)	Displacement (ft)	Velocity (ft/s)	x acceleration (g)	IMU Pressure (psia)	IMU Temperature (F)	Max Cell Voltage (V)	Max Cell ID (#)	Min Cell Voltage (V)	Min Cell ID (#)	State of Charge (%)	Average Voltage (V)	Voltage Delta (V)	Pack Current (I)	Pack Voltage (V)	Max Resistance (Ohm)	Min Resistance (Ohm)	Average Resistance (Ohm)	Resistance Delta (Ohm)	Highest Temperature (F)	BMSStatus.isFault	BMSStatus.isolation	Motor Velocity	Motor Temperature	Controller Temperature	Motor DC Voltage	Motor Error Code	motorStatus.isReady	motorStatus.isOn	motorStatus.isOperEn	motorStatus.isFault	motorStatus.isVoltEn	motorStatus.targetReached	motorStatus.isWarning	isAlive	motorControllerState	State	Pod Power	Dump Valve	Brakes	Clamp	Pump	HighSide	Precharge	Drive	Throttle	Pump	AO2	AO3
342290.000000	26.517468	-54.679390	2.000000	-18.280867	0.000933	-434.333714	-436.822440	2.930003	3.827112	-1283.827366	23.161296	22.780739	22.634371	5.331052	-19202.715890	-0.049712	0.000215	14.673319	89.192555	4.044000	6.000000	4.034000	33.000000	78.000000	4.040900	0.010000	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
342390.000000	26.512319	-54.769692	2.000000	-18.248851	0.003560	-434.333714	-438.066804	2.921793	3.823500	-1284.053059	23.073475	22.663644	22.478245	5.343201	-19241.453062	-0.049727	-0.000014	14.673319	89.194876	4.043900	6.000000	4.033900	33.000000	78.000000	4.040900	0.010000	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
342490.000000	26.513349	-54.704018	2.000000	-18.273479	-0.002679	-437.963107	-439.311167	2.922122	3.826784	-1283.150288	23.122264	22.458729	22.458729	5.332037	-19280.234974	-0.049694	-0.000437	14.673319	89.195315	4.044000	6.000000	4.034000	33.000000	78.000000	4.040900	0.010000	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
342590.000000	26.507169	-54.786111	2.000000	-18.273624	0.003232	-433.763381	-437.496470	2.916539	3.816276	-1287.438449	22.858657	22.614710	22.234153	5.326783	-19319.060748	-0.049767	0.000007	14.673464	89.197011	4.043900	6.000000	4.034000	33.000000	78.000000	4.040900	0.009900	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
342690.000000	26.500990	-54.859994	2.000000	-18.298252	-0.000052	-433.867077	-437.185380	2.919823	3.812664	-1286.987064	22.614710	22.409795	22.068269	5.326126	-19357.931345	-0.049838	-0.000482	14.673464	89.197011	4.044100	6.000000	4.034000	33.000000	78.000000	4.040900	0.010100	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
342790.000000	26.514379	-54.802529	2.000000	-18.286083	0.000933	-434.748501	-437.652016	2.923107	3.817918	-1286.761371	22.682870	22.234008	22.312071	5.318245	-19401.170772	-0.049916	-0.000027	14.673609	89.195027	4.044100	6.000000	4.034000	33.000000	78.000000	4.040900	0.010100	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
342890.000000	26.491721	-54.884622	2.000000	-18.293326	0.000933	-434.385562	-437.444622	2.919166	3.813977	-1286.987064	22.731805	22.429310	22.195122	5.323171	-19440.134819	-0.050006	0.000113	14.673464	89.195041	4.044300	6.000000	4.033900	33.000000	78.000000	4.041000	0.010400	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
342990.000000	26.492751	-54.736855	2.000000	-18.212054	0.004874	-434.696653	-439.518561	2.913912	3.809380	-1291.275225	22.780594	22.263427	22.243911	5.322514	-19479.142515	-0.049992	0.000223	14.673464	89.197330	4.044000	6.000000	4.034000	33.000000	78.000000	4.041000	0.010000	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
343090.000000	26.507169	-54.761483	2.000000	-18.266235	0.002903	-433.815229	-437.133531	2.923435	3.821530	-1284.053059	23.024541	22.448826	22.370763	5.327768	-19522.531867	-0.049940	0.000169	14.673464	89.200767	4.044000	6.000000	4.034000	33.000000	78.000000	4.041000	0.010000	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
343190.000000	26.529827	-54.662971	2.000000	-18.290863	-0.002679	-439.207470	-441.074015	2.921793	3.826456	-1283.827366	22.809868	22.361005	22.282942	5.331708	-19561.628099	-0.049874	-0.000380	14.673464	89.201955	4.044100	6.000000	4.034000	33.000000	78.000000	4.041000	0.010100	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
